CompanyCode,Region,Location,ItemGrp,ItemCategory,ItemSubCategory,C-Qtr,P-Qtr,Variance,Indicator,C-Qtr Quantity,P-Qtr Quantity,Variance,Indicator
BFPL,EAST,DCB,[VINEGAR],VINEGAR,VINEGAR WHITE 24X300ML,0.03,0.03,-0.02,?,0,0,-0.01,?
BFPL,EAST,Kolkata,[CAN-VEG],ASPARAGUS,ASPARAGUS-M (24X450)GM,0.14,0.00,-,?,0,0,-,?
BFPL,EAST,Kolkata,[CAN-VEG],B-BEANS,BAKED BEANS (24X450)GM,5.76,14.99,-0.62,?,6,14,-0.61,?
BFPL,EAST,Kolkata,[CAN-VEG],CORN,BABY CORN ( 24 x 800 gm ),1.36,1.33,0.02,?,2,1,0.05,?
BFPL,EAST,Kolkata,[CAN-VEG],CORN,BABY CORN (24X450)GM,0.77,0.54,0.43,?,1,1,0.43,?
BFPL,EAST,Kolkata,[CAN-VEG],CORN,SWEET CORN (24X400)GM,0.00,0.37,-1.00,?,0,0,-1.00,?
BFPL,EAST,Kolkata,[CAN-VEG],CORN,SWEET CORN (24X450)GM,1.94,2.53,-0.23,?,3,3,-0.21,?
BFPL,EAST,Kolkata,[JAM],JAM 1 KG,APRICOT JAM (12 x 1)KG,0.00,0.11,-1.00,?,0,0,-1.00,?
BFPL,EAST,Kolkata,[JAM],JAM 1 KG,MANGO JAM (12X1000)GM,0.13,0.44,-0.70,?,0,0,-0.70,?
BFPL,EAST,Kolkata,[JAM],JAM 1 KG,MIX FRUIT JAM (12X1000)GM,1.14,2.03,-0.44,?,1,2,-0.42,?
BFPL,EAST,Kolkata,[JAM],JAM 1 KG,ORANGE MARMALADE (12X1000)GM,0.27,0.79,-0.65,?,0,1,-0.66,?
BFPL,EAST,Kolkata,[JAM],JAM 1 KG,PINEAPPLE JAM (12X1000)GM,0.08,0.39,-0.79,?,0,0,-0.79,?
BFPL,EAST,Kolkata,[JAM],JAM 4KG,MIX FRUIT JAM 4 X 4KG,2.55,4.78,-0.47,?,3,6,-0.44,?
BFPL,EAST,Kolkata,[JAM],JAM 4KG,PINEAPPLE JAM 4 X 4KG,0.49,0.53,-0.06,?,1,1,0.11,?
BFPL,EAST,Kolkata,[JAM],JAM 200,GUAVA JELL JAM 48 X 200GM,0.02,0.18,-0.91,?,0,0,-0.91,?
BFPL,EAST,Kolkata,[JAM],JAM 200,MANGO JAM 48 X 200GM,0.32,1.81,-0.82,?,0,1,-0.82,?
BFPL,EAST,Kolkata,[JAM],JAM 200,MIXED JAM 48 X 200GM,0.57,2.64,-0.79,?,0,2,-0.79,?
BFPL,EAST,Kolkata,[JAM],JAM 200,ORANGE MARMALADE JAM 48 X200GM,0.09,0.44,-0.80,?,0,0,-0.79,?
BFPL,EAST,Kolkata,[JAM],JAM 200,PINEAPPLE JAM 48 X200GM,0.31,1.68,-0.82,?,0,1,-0.82,?
BFPL,EAST,Kolkata,[JAM],JAM 200,STRAWBERRY JAM 48 X 200GM,0.00,0.06,-1.00,?,0,0,-1.00,?
BFPL,EAST,Kolkata,[JAM],JAM 500,APPRICOT JAM 12X500GM,0.04,0.29,-0.85,?,0,0,-0.86,?
BFPL,EAST,Kolkata,[JAM],JAM 500,GUAVA JELLY (12X500)GM,0.16,0.68,-0.77,?,0,0,-0.77,?
BFPL,EAST,Kolkata,[JAM],JAM 500,MANGO JAM (12X500)GM,0.90,3.30,-0.73,?,1,2,-0.73,?
BFPL,EAST,Kolkata,[JAM],JAM 500,MIX FRUIT JAM (12X500)GM,1.45,4.26,-0.66,?,1,3,-0.65,?
BFPL,EAST,Kolkata,[JAM],JAM 500,ORANGE MARMALADE (12X500)GM,0.70,1.71,-0.59,?,0,1,-0.59,?
BFPL,EAST,Kolkata,[JAM],JAM 500,PINEAPPLE JAM (12X500)GM,0.78,2.90,-0.73,?,1,2,-0.71,?
BFPL,EAST,Kolkata,[JAM],JAM 500,STRAWBERRY JAM (12X500)GM,0.18,0.44,-0.60,?,0,0,-0.60,?
